駅名,利用者数
兜沼,0
入善,1812
入地,67
入山瀬,1928
入広瀬,0
入明,932
入曽,17764
入江岡,730
入生田,990
入谷,36129
入野,422
入間市,33713
八ツ島,437
八ツ森,0
八丁堀,117546
八丁牟田,1244
八丁畷,19575
八丁馬場,584
八乙女,16590
八事,35596
八事日赤,13842
八代,3952
八代通,278
八十場,222
八千代中央,23967
八千代台,45975
八千代町,700
八千代緑が丘,41010
八千穂,196
八坂,6171
八多喜,70
八家,2366
八尾,26330
八尾南,11498
八川,0
八幡,13342
八幡前,1483
八幡宿,23704
八幡山,43346
八幡平,0
八幡新田,2635
八幡浜,1770
八広,12678
八戸,12296
八戸ノ里,27151
八日市,2140
八日市場,3668
八景島,4770
八景水谷,388
八木,2880
八木原,2174
八木山動物公園,11434
八木崎,10646
八木沢,74
八木沢・宮古短大,49
八木西口,5867
八本松,7766
八東,55
八柱,45332
八栗,941
八栗口,450
八栗山上,531
八栗新道,190
八栗登山口,531
八森,0
八橋,124
八次,198
八津,6
八浜,838
八潮,49100
八瀬比叡山口,788
八王子,170006
八王子みなみ野,37442
八田,14478
八積,1474
八色,0
八草,7767
八街,11644
八軒,5008
八郎潟,1584
八雲,418
八頭高校前,444
八鹿,966
公園,200
公園上,96
公園下,65
公園東口,1495
公園西,2512
公庄,1
公文明,209
公津の杜,14034
公立病院前,21
六丁の目,7426
六万寺,1028
六会日大前,29802
六十谷,6890
六原,0
六反地,10
六合,6092
六名,1619
六地蔵,15060
六実,14840
六日町,4738
六本木,133164
六本木一丁目,88958
六本松,14228
六条,18
六浦,15934
六渡寺,38
六田,918
六甲,29523
六甲ケーブル下,803
六甲山上,752
六甲道,52882
六町,30100
六番町,14930
六軒,2568
六輪,1046
六郷土手,16441
共和,19596
兵庫,44666
具同,79
内ヶ巻,0
内之田,0
内原,5624
内名,6
内子,1214
内宿,5151
内山,178
内幸町,44741
内海,1319
内灘,2723
内牧,0
内田,30
内船,239
内部,861
内郷,2034
内野,5468
内野西が丘,0
円山公園,30504
円座,1729
円田,71
円町,17050
円行寺口,604
再春医療センター前,124
冠着,146
冷水浦,174
出光美術館,52
出屋敷,12792
出島,1800
出平,0
出戸,15771
出戸浜,0
出来島,10584
出水,2250
出町柳,38208
出目,26
出雲三成,126
出雲八代,22
出雲坂根,4
出雲大東,296
出雲大社前,803
出雲崎,316
出雲市,5036
出雲横田,172
出雲神西,114
出雲科学館パークタウン前,43
出馬,1
函南,3516
函館,5522
函館どつく前,456
函館アリーナ前,875
函館駅前,3899
分倍河原,95121
分水,930
切目,120
切石,226
切通,1628
刈和野,620
刈羽,0
刈谷,73056
刈谷市,6558
刑部,108
初台,65172
初富,5575
初島,660
初狩,0
初田牛,0
初石,18609
初芝,16831
